Spp,commonName,scientificName
1436,Vieillot's Barbet,Lybius vieilloti
1880,Vinaceous Dove,Streptopelia vinacea
1890,Black-billed Wood Dove,Turtur abyssinicus
2330,Senegal Batis,Batis senegalensis
2424,Yellow-crowned Gonolek,Laniarius barbarus
2806,Neumann's Starling,Onychognathus neumanni
2882,West African Swallow,Cecropis domicella
3098,Rock-loving Cisticola,Cisticola emini
3270,Senegal Eremomela,Eremomela pusilla
3576,Pygmy Sunbird,Hedydipna platura
3742,Lavender Waxbill,Glaucestrilda caerulescens
3780,Rock Firefinch,Lagonosticta sanguinodorsalis
3870,Bush Petronia,Gymnoris dentata
11491,Common Bulbul,Pycnonotus barbatus
3816,White Wagtail,Motacilla alba
1402,Eurasian Wryneck,Jynx torquilla
1702,Western  Plantain-eater,Crinifer piscator
1708,Violet Turaco,Tauraco violaceus
2652,White-fronted Black Chat,Oenanthe albifrons
2728,White-crowned Cliff Chat,Thamnolaea coronata
3156,Rufous Cisticola,Cisticola rufus
3454,Blackcap Babbler,Turdoides reinwardtii
3508,Sun Lark,Galerida modesta
1218,Double-spurred Spurfowl,Pternistis bicalcaratus
1374,Fine-spotted Woodpecker,Campethera punctuligera
1816,Long-tailed Nightjar,Caprimulgus climacurus
2484,Piapiac,Ptilostomus afer
2798,Splendid Starling,Lamprotornis splendidus
2928,Fanti Saw-wing,Psalidoprocne obscura
3128,Dorst's Cisticola,Cisticola guinea
3982,Quail-finch Indigobird,Vidua nigeriae
10874,Northern Yellow White-eye,Zosterops senegalensis
3040,Swamp Palm  Bulbul,Thescelocichla leucopleura
3630,Splendid Sunbird,Cinnyris coccinigastrus
3812,Red-vented Malimbe,Malimbus scutatus
976,Woodchat Shrike,Lanius senator
1093,Velvet-mantled Drongo,Dicrurus modestus
2826,Narrow-tailed Starling,Poeoptera lugubris
3436,Green Crombec,Sylvietta virens
1188,Buff-spotted Woodpecker,Pardipicus nivosus
1390,Gabon Woodpecker,Dendropicos gabonensis
1418,Bristle-nosed Barbet,Gymnobucco peli
1446,Speckled Tinkerbird,Pogoniulus scolopaceus
1448,Yellow-throated Tinkerbird,Pogoniulus subsulphureus
1474,White-thighed Hornbill,Bycanistes albotibialis
1690,Black Spinetail,Telacanthura melanopygia
1726,Guinea Turaco,Tauraco persa
2518,Blue-headed Crested Flycatcher,Trochocercus nitens
2994,Spotted Greenbul,Ixonotus guttatus
3002,White-throated Greenbul,Phyllastrephus albigularis
3288,Blackcap Illadopsis,Illadopsis cleaveri
3308,Grey Longbill,Macrosphenus concolor
3582,Fraser's Sunbird,Deleornis fraseri
3604,Buff-throated Sunbird,Chalcomitra adelberti
947,Wood Warbler,Phylloscopus sibilatrix
1140,Chestnut-breasted Nigrita,Nigrita bicolor
1146,Cameroon Olive Greenbul,Phyllastrephus poensis
1486,White-crested Hornbill,Horizocerus albocristatus
2374,Shining Drongo,Dicrurus atripennis
2640,Olivaceous Flycatcher,Muscicapa olivascens
2980,Red-tailed Greenbul,Criniger calurus
1480,Yellow-casqued  Hornbill,Ceratogymna elata
2088,Red-chested Goshawk,Accipiter toussenelii
2124,Congo Serpent Eagle,Circaetus spectabilis
2474,Red-billed Helmetshrike,Prionops caniceps
2720,Forest Robin,Stiphrornis erythrothorax
3022,Red-tailed Leaflove,Phyllastrephus scandens
3806,Blue-billed  Malimbe,Malimbus nitens
2400,White-spotted Wattle-eye,Platysteira tonsa
3266,Rufous-crowned Eremomela,Eremomela badiceps
1476,Black-casqued  Hornbill,Ceratogymna atrata
2628,Cassin's Flycatcher,Muscicapa cassini
2342,Red-shouldered  Cuckooshrike,Campephaga phoenicea
1534,Blue-throated Roller,Eurystomus gularis
2636,Sooty Flycatcher,Muscicapa infuscata
