Spp,commonName,scientificName
591,East Coast Akalat,Sheppardia gunningi
623,Black-headed Apalis,Apalis melanocephala
946,White-chested Alethe,Chamaetylas fuelleborni
1620,Madagascan Cuckoo,Cuculus rochii
620,Red-winged Prinia,Prinia erythroptera
423,Silvery-cheeked Hornbill,Bycanistes brevis
548,Lowland Tiny Greenbul,Phyllastrephus debilis
4130,Lesser  Cuckoo,Cuculus poliocephalus
322,Lemon Dove,Columba larvata
660,Herero Chat,Namibornis herero
268,Eurasian  Whimbrel,Numenius phaeopus
189,Common Quail,Coturnix coturnix
717,Olive Bushshrike,Chlorophoneus olivaceus
206,Buff-spotted Flufftail,Sarothrura elegans
313,Eastern Bronze-naped Pigeon,Columba delegorguei
320,Blue-spotted Wood Dove,Turtur afer
433,White-eared Barbet,Stactolaema leucotis
549,Stripe-cheeked Greenbul,Arizelocichla milanjensis
610,Barratt's Warbler,Bradypterus barratti
643,Singing Cisticola,Cisticola cantans
671,Yellow-throated Woodland Warbler,Phylloscopus ruficapilla
720,Black-fronted Bushshrike,Chlorophoneus nigrifrons
721,Gorgeous Bushshrike,Telophorus viridis
828,Red-faced  Crimsonwing,Cryptospiza reichenovii
842,Grey Waxbill,Glaucestrilda perreini
904,Scarce Swift,Schoutedenapus myoptilus
927,Chirinda Apalis,Apalis chirindensis
516,Grey  Cuckooshrike,Ceblepyris caesius
139,Booted Eagle,Hieraaetus pennatus
531,Cape Penduline Tit,Anthoscopus minutus
556,Orange Ground Thrush,Geokichla gurneyi
681,White-tailed Crested Flycatcher,Elminia albonotata
826,Yellow-bellied Waxbill,Coccopygia quartinia
1105,Olive Thrush,Turdus olivaceus
181,Cape Spurfowl,Pternistis capensis
583,Karoo Scrub Robin,Cercotrichas coryphoeus
733,Common Starling,Sturnus vulgaris
760,Southern Double-collared Sunbird,Cinnyris chalybeus
4134,Southern Black Korhaan,Afrotis afra
216,Blue Crane,Grus paradisea
1016,Mallard,Anas platyrhynchos
4139,Karoo Prinia,Prinia maculosa
909,Green-headed Oriole,Oriolus chlorocephalus
105,Secretarybird,Sagittarius serpentarius
631,Cloud Cisticola,Cisticola textrix
590,Swynnerton's Robin,Swynnertonia swynnertoni
497,Blue Swallow,Hirundo atrocaerulea
10877,Nicholson's Pipit,Anthus nicholsoni
282,Black-winged Pratincole,Glareola nordmanni
136,Lesser Spotted Eagle,Clanga pomarina
457,Monotonous Lark,Mirafra passerina
202,Baillon's Crake,Zapornia pusilla
177,Shelley's Francolin,Scleroptila shelleyi
825,Swee Waxbill,Coccopygia melanotis
575,Ant-eating  Chat,Myrmecocichla formicivora
233,Common Ringed Plover,Charadrius hiaticula
90,South African Shelduck,Tadorna cana
87,Lesser Flamingo,Phoeniconaias minor
125,Lesser Kestrel,Falco naumanni
5,Black-necked Grebe,Podiceps nigricollis
170,Montagu's Harrier,Circus pygargus
251,Curlew Sandpiper,Calidris ferruginea
48,Cape Cormorant,Phalacrocorax capensis
289,Hartlaub's Gull,Chroicocephalus hartlaubii
298,Greater Crested Tern,Thalasseus bergii
540,Cape Rockjumper,Chaetops frenatus
559,Cape Rock  Thrush,Monticola rupestris
560,Sentinel Rock  Thrush,Monticola explorator
638,Grey-backed Cisticola,Cisticola subruficapilla
749,Cape Sugarbird,Promerops cafer
753,Orange-breasted Sunbird,Anthobaphes violacea
855,Cape Siskin,Crithagra totta
445,Ground Woodpecker,Geocolaptes olivaceus
483,Gray's Lark,Ammomanopsis grayi
152,Jackal Buzzard,Buteo rufofuscus
207,Striped Flufftail,Sarothrura affinis
612,Victorin's Warbler,Cryptillas victorini
492,Stark's Lark,Spizocorys starki
1183,Eastern Clapper Lark,Mirafra fasciolata
168,Pallid Harrier,Circus macrourus
2858,Cinnamon-breasted Tit,Melaniparus pallidiventris
709,Southern Boubou,Laniarius ferrugineus
800,Yellow Weaver,Ploceus subaureus
371,European Nightjar,Caprimulgus europaeus
244,Senegal Lapwing,Vanellus lugubris
231,African Oystercatcher,Haematopus moquini
452,Olive Woodpecker,Dendropicos griseocephalus
584,Brown Scrub Scrub Robin,Cercotrichas signata
989,House Crow,Corvus splendens
713,Southern Tchagra,Tchagra tchagra
103,Maccoa Duck,Oxyura maccoa
750,Gurney's Sugarbird,Promerops gurneyi
126,Pygmy Falcon,Polihierax semitorquatus
783,Sociable Weaver,Philetairus socius
619,Rufous-eared Warbler,Malcorus pectoralis
243,Black-winged Lapwing,Vanellus melanopterus
461,Karoo Lark,Calendulauda albescens
463,Large-billed Lark,Galerida magnirostris
746,Pied Starling,Lamprotornis bicolor
3734,Black-cheeked  Waxbill,Brunhilda charmosyna
511,Black (Southern Africa) Saw-wing,Psalidoprocne pristoptera holomelas
845,Locustfinch Locustfinch,Paludipasser locustella
700,Short-tailed Pipit,Anthus brachyurus
4128,Black-rumped Buttonquail,Turnix nanus
191,Blue Quail,Excalfactoria adansonii
861,Black-headed Canary,Serinus alario
678,Fairy Flycatcher,Stenostira scita
254,Red Knot,Calidris canutus
71,Eurasian Bittern,Botaurus stellaris
290,Caspian Tern,Hydroprogne caspia
241,Grey Plover,Pluvialis squatarola
239,Greater Sand Plover,Charadrius leschenaultii
291,Common Tern,Sterna hirundo
255,Sanderling,Calidris alba
273,Crab-Plover,Dromas ardeola
257,Terek Sandpiper,Xenus cinereus
299,Little Tern,Sternula albifrons
234,Lesser Sand Plover,Charadrius mongolus
758,Greater Double-collared Sunbird,Cinnyris afer
4140,Cape Clapper Lark,Mirafra apiata
4123,Agulhas Long-billed Lark,Certhilauda brevirostris
734,Common Myna,Acridotheres tristis
941,Rose-ringed Parakeet,Psittacula krameri
178,Red-winged Francolin,Scleroptila levaillantii
219,Denham's Bustard,Neotis denhami
453,Red-throated Wryneck,Jynx ruficollis
569,Buff-streaked Chat,Campicoloides bifasciatus
634,Wing-snapping Cisticola,Cisticola ayresii
818,Long-tailed Widowbird,Euplectes progne
1049,Drakensberg Prinia,Prinia hypoxantha
309,Yellow-throated Sandgrouse,Pterocles gutturalis
992,Eleonora's Falcon,Falco eleonorae
155,Forest Buzzard,Buteo trizonatus
220,Karoo Korhaan,Eupodotis vigorsii
4127,Karoo Long-billed Lark,Certhilauda subcoronata
4,Great Crested Grebe,Podiceps cristatus
895,Pectoral Sandpiper,Calidris melanotos
571,Tractrac Chat,Emarginata tractrac
223,Blue Korhaan,Eupodotis caerulescens
572,Sickle-winged Chat,Emarginata sinuata
1104,Karoo Thrush,Turdus smithi
1171,Orange River White-eye,Zosterops pallidus
858,Forest Canary,Crithagra scotops
626,Karoo Eremomela,Eremomela gregalis
921,Lemon-breasted Canary,Crithagra citrinipectus
659,Layard's  Warbler,Curruca layardi
295,Sooty Tern,Onychoprion fuscatus
297,Lesser Crested Tern,Thalasseus bengalensis
939,Lesser Noddy,Anous tenuirostris
82,Southern Bald Ibis,Geronticus calvus
44,Cape Gannet,Morus capensis
296,Sandwich Tern,Thalasseus sandvicensis
300,Damara Tern,Sternula balaenarum
597,Olive-tree Warbler,Hippolais olivetorum
456,Melodious Lark,Mirafra cheniana
13,Southern Giant Petrel,Macronectes giganteus
980,Chukar Partridge,Alectoris chukar
598,River Warbler,Locustella fluviatilis
261,Common Redshank,Tringa totanus
525,Grey Tit,Melaniparus afer
883,Malagasy Pond Heron,Ardeola idae
13633,Southern Yellow White-eye,Zosterops anderssoni
605,Barred Warbler,Curruca nisoria
578,Chorister Robin-Chat Robin-Chat,Cossypha dichroa
4133,Knysna Turaco,Tauraco corythaix
831,Pink-throated Twinspot,Hypargos margaritatus
51,Crowned Cormorant,Microcarbo coronatus
697,African Rock Pipit,Anthus crenatus
2192,Snowy Egret,Egretta thula
1053,Citrine Wagtail,Motacilla citreola
49,Bank Cormorant,Phalacrocorax neglectus
933,Black-headed Gull,Chroicocephalus ridibundus
922,American Golden Plover,Pluvialis dominica
903,Black Tern,Chlidonias niger
4143,Elegant Tern,Thalasseus elegans
926,Buff-breasted Sandpiper,Calidris subruficollis
624,Rudd's Apalis,Apalis ruddi
2,African Penguin,Spheniscus demersus
4132,Cape  Parrot,Poicephalus robustus
156,Rufous-breasted Sparrowhawk,Accipiter rufiventris
294,Arctic Tern,Sterna paradisaea
11763,Black Skimmer,Rynchops niger
284,Parasitic Jaeger,Stercorarius parasiticus
285,Pomarine Jaeger,Stercorarius pomarinus
955,Little Ringed Plover,Charadrius dubius
2062,Great Black-backed Gull,Larus marinus
4136,Lesser Black-backed Gull,Larus fuscus
272,Red-necked Phalarope,Phalaropus lobatus
902,Gull-billed Tern,Gelochelidon nilotica
271,Red Phalarope,Phalaropus fulicarius
480,Dune Lark,Calendulauda erythrochlamys
929,Wilson's Phalarope,Phalaropus tricolor
1029,R\u00fcppell's Vulture,Gyps rueppelli
1021,Indian  Peafowl,Pavo cristatus
1034,White-throated Bee-eater,Merops albicollis
367,Cape Eagle-Owl,Bubo capensis
905,Green Tinkerbird,Pogoniulus simplex
22,Antarctic Prion,Pachyptila desolata
111,Egyptian Vulture,Neophron percnopterus
490,Pink-billed Lark,Spizocorys conirostris
465,Short-clawed Lark,Certhilauda chuana
894,Eurasian Oystercatcher,Haematopus ostralegus
222,White-bellied Bustard,Eupodotis senegalensis
542,Bush Blackcap,Sylvia nigricapillus
690,Grey Wagtail,Motacilla cinerea
11,Shy Albatross,Thalassarche cauta
491,Sclater's Lark,Spizocorys sclateri
448,Knysna Woodpecker,Campethera notata
919,Olive-headed Weaver,Ploceus olivaceiceps
761,Neergaard's Sunbird,Cinnyris neergaardi
997,White-rumped Sandpiper,Calidris fuscicollis
887,Taita Falcon,Falco fasciinucha
964,White-headed Saw-wing,Psalidoprocne albiceps
613,Cinnamon-breasted Warbler,Euryptila subcinnamomea
653,Namaqua Warbler,Phragmacia substriata
1466,Miombo Pied  Barbet,Tricholaema frontata
886,Northern Pintail,Anas acuta
10006,Domestic Duck,Anas platyrhynchos
1005,European Turtle Dove,Streptopelia turtur
2792,Purple Starling,Lamprotornis purpureus
150,Bearded Vulture,Gypaetus barbatus
885,Garganey,Spatula querquedula
2608,Northern Black Flycatcher,Melaenornis edolioides
881,Flesh-footed Shearwater,Ardenna carneipes
169,Black Harrier,Circus maurus
176,Grey-winged Francolin,Scleroptila afra
3276,Upcher's Warbler,Hippolais languida
893,Purple Gallinule,Porphyrio martinica
1031,Spur-winged Lapwing,Vanellus spinosus
914,Red-capped Crombec,Sylvietta ruficapilla
286,Brown Skua,Stercorarius antarcticus
701,Yellow-breasted Pipit,Anthus chloris
558,Spotted Ground Thrush,Geokichla guttata
204,White-winged Flufftail,Sarothrura ayresi
1346,Fynbos  Buttonquail,Turnix hottentottus
2496,Three-streaked Tchagra,Tchagra jamesi
1638,Yellow-collared Lovebird,Agapornis personatus
1014,Lesser Yellowlegs,Tringa flavipes
479,Red Lark,Calendulauda burra
2914,Black (Northern Race) Saw-wing,Psalidoprocne pristoptera 
2392,Red-eyed  Puffback,Dryoscopus senegalensis
1100,Black-collared Bulbul,Neolestes torquatus
1015,Little Blue Heron,Egretta caerulea
969,Blackcap Blackcap,Sylvia atricapilla
9,Grey-headed Albatross,Thalassarche chrysostoma
331,Black-cheeked Lovebird,Agapornis nigrigenis
10004,Domestic Goose,Anser anser
1004,Common Redstart,Phoenicurus phoenicurus
10014,Unidentified Duck,N/A N/A
10015,Anas hybrid,Anas hybrid
93,Northern Shoveler,Spatula clypeata
2240,Spectacled Petrel,Procellaria conspicillata
938,White-cheeked Tern,Sterna repressa
1332,Red-crested Pochard,Netta rufina
932,Franklin's Gull,Leucophaeus pipixcan
563,Northern Wheatear,Oenanthe oenanthe
1334,Ruddy Duck,Oxyura jamaicensis
4151,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
10020,Wood Duck,Aix sponsa
1017,Mandarin Duck,Aix galericulata
1340,Ruddy Shelduck,Tadorna ferruginea
39,Red-tailed Tropicbird,Phaethon rubricauda
10003,Muscovy Duck,Cairina moschata
1024,Plum-headed  Parakeet,Psittacula cyanocephala
1298,Tufted Duck,Aythya fuligula
10019,Budgerigar Parrot,Melopsittacus undulatus
1276,Blue-winged Teal,Spatula discors
1308,Barnacle Goose,Branta leucopsis
876,Light-mantled Albatross,Phoebetria palpebrata
1059,Long-tailed Pipit,Anthus longicaudatus
1033,Streaked Shearwater,Calonectris leucomelas
265,Black-tailed Godwit,Limosa limosa
486,Black-eared Sparrow-Lark,Eremopterix australis
869,Protea  Canary,Crithagra leucoptera
935,Royal Tern,Thalasseus maximus
953,Red-billed Tropicbird,Phaethon aethereus
1084,Bocage's Akalat,Sheppardia bocagei
807,Cardinal Quelea,Quelea cardinalis
3526,Bradfield's Lark,Mirafra [sabota] naevia
1027,Red-footed Booby,Sula sula
260,Spotted Redshank,Tringa erythropus
472,Botha's Lark,Spizocorys fringillaris
473,Rudd's Lark,Heteromirafra ruddi
928,Mountain Pipit,Anthus hoeschi
937,Black-naped Tern,Sterna sumatrana
702,Golden Pipit,Tmetothylacus tenellus
10010,Unidentified Gull,N/A N/A
4137,White-chinned Petrel,Procellaria aequinoctialis
1037,Barlow's Lark,Calendulauda barlowi
1039,Pacific Golden Plover,Pluvialis fulva
577,Whinchat,Saxicola rubetra
435,Green Barbet,Stactolaema olivacea
3706,Kimberley Pipit,Anthus pseudosimilis
10007,Black  Swan,Cygnus atratus
611,Knysna Warbler,Bradypterus sylvaticus
29,Sooty Shearwater,Ardenna grisea
1079,Indian Yellow-nosed Albatross,Thalassarche carteri
908,Mascarene Martin,Phedina borbonica
856,Drakensberg Siskin,Crithagra symonsi
942,Ross's Turaco,Tauraco rossae
4102,Damara Canary,Serinus leucolaema
14,Cape Petrel,Daption capense
8,Black-browed Albatross,Thalassarche melanophris
1038,Drakensberg  Rockjumper,Chaetops aurantius
949,Basra Reed  Warbler,Acrocephalus griseldis
33,Wilson's Storm-petrel,Oceanites oceanicus
2002,Kentish Plover,Charadrius alexandrinus
2630,Dusky-blue Flycatcher,Muscicapa comitata
4155,Karoo Lark,Calendulauda albescens
979,Long-legged Buzzard,Buteo rufinus
4125,Cape Long-billed Lark,Certhilauda curvirostris
2162,Common Kestrel,Falco tinnunculus
3968,Red-backed  Mannikin,Spermestes nigriceps
936,Bridled Tern,Onychoprion anaethetus
36,Black-bellied Storm-petrel,Fregetta tropica
901,Sabine's Gull,Xema sabini
4150,Shy Albatross,Thalassarche cauta
53,Great  Frigatebird,Fregata minor
990,South Polar Skua,Stercorarius maccormicki
3564,Thick-billed Lark,Ramphocoris clotbey
1011,Jouanin's Petrel,Bulweria fallax
26,Cory's Shearwater,Calonectris borealis
16,Great-winged Petrel,Pterodroma macroptera
293,Roseate Tern,Sterna dougallii
15,Southern Fulmar,Fulmarus glacialoides
20,Blue Petrel,Halobaena caerulea
43,Australasian Gannet,Morus serrator
252,Baird's Sandpiper,Calidris bairdii
864,Snowy  Sheathbill,Chionis albus
180,Wedge-tailed Shearwater,Ardenna pacifica
292,Antarctic Tern,Sterna vittata
2042,Heuglin's Gull,Larus heuglini
1980,Great Knot,Calidris tenuirostris
1009,Hudsonian Godwit,Limosa haemastica
981,Broad-billed Sandpiper,Calidris falcinellus
46,Brown Booby,Sula leucogaster
31,Leach's Storm-petrel,Oceanodroma leucorhoa
2360,Thick-billed Raven,Corvus crassirostris
3074,Black-throated Apalis,Apalis jacksoni
25,Great Shearwater,Ardenna gravis
984,Northern Giant Petrel,Macronectes halli
870,Common Chaffinch,Fringilla coelebs
4191,Hyrbid Common/Forest  Buzzard ,NULL
27,Little Shearwater,Puffinus assimilis
962,Red-rumped Swallow,Cecropis daurica
30,European Storm-petrel,Hydrobates pelagicus
3,Southern Rockhopper Penguin,Eudyptes chrysocome
930,Long-tailed Jaeger,Stercorarius longicaudus
879,Fairy Prion,Pachyptila turtur
1934,Little Crake,Zapornia parva
1296,Common Pochard,Aythya ferina
34,White-faced Storm-petrel,Pelagodroma marina
19,Soft-plumaged Petrel,Pterodroma mollis
466,Clapper Lark,Mirafra apiata
3186,Graceful Prinia,Prinia gracilis
1224,Clapperton's Spurfowl,Pternistis clappertoni
2198,Sao Tome  Ibis,Bostrychia bocagei
924,Southern Royal Albatross,Diomedea epomophora
7,Wandering Albatross,Diomedea exulans
4153,Manx Shearwater,Puffinus puffinus
10,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
983,Macaroni Penguin,Eudyptes chrysolophus
1286,Greylag Goose,Anser anser
925,Black-legged Kittiwake,Rissa tridactyla
357,Montane Nightjar,Caprimulgus poliocephalus
476,Baglafecht Weaver,Ploceus baglafecht
778,Streaky Seedeater,Crithagra striolata
973,African Citril,Crithagra citrinelloides
1578,Cinnamon-chested Bee-eater,Merops oreobates
1588,White-headed Mousebird,Colius leucocephalus
1656,Red-fronted Parrot,Poicephalus gulielmi
1718,Hartlaub's Turaco,Tauraco hartlaubi
2600,White-eyed Slaty Flycatcher,Melaenornis fischeri
2618,Common Rock Thrush,Monticola saxatilis
2650,Anteater Chat,Myrmecocichla aethiops
2736,Abyssinian Thrush,Turdus abyssinicus
2822,Sharpe's Starling,Poeoptera sharpii
2868,Red-throated Tit,Melaniparus fringillinus
3674,Tacazze Sunbird,Nectarinia tacazze
3726,Abyssinian Crimsonwing,Cryptospiza salvadorii
3840,Kenya Sparrow,Passer rufocinctus
3978,Purple Grenadier,Granatina ianthinogaster
7887,Northern Fiscal,Lanius humeralis
1874,Dusky Turtle Dove,Streptopelia lugens
2616,Little Rock  Thrush,Monticola rufocinereus
2690,Schalow's Wheatear,Oenanthe schalowi
3152,Stout Cisticola,Cisticola robustus
10876,Long-billed Pipit,Anthus similis
2894,White-tailed Swallow,Hirundo megaensis
1504,Pale-billed Hornbill,Lophoceros pallidirostris
2554,Miombo  Scrub Robin,Cercotrichas barbata
3264,Black-necked Eremomela,Eremomela atricollis
462,Black-backed Barbet,Lybius minor
565,Little Greenbul,Eurillas virens
1068,Green-headed Sunbird,Cyanomitra verticalis
1091,Laura's Woodland  Warbler,Phylloscopus laurae
1168,African Thrush,Turdus pelios
2406,White-tailed Blue  Flycatcher,Elminia albicauda
3070,Grey Apalis,Apalis cinerea
5708,Yellow-throated  Leaflove,Atimastillas flavicollis
7866,Tropical Boubou,Laniarius major
12,Sooty Albatross,Phoebetria fusca
1078,Slender-billed Gull,Chroicocephalus genei
3874,Yellow-spotted Bush Sparrow,Gymnoris pyrgita
1256,Ring-necked Francolin,Scleroptila streptophora
1060,Hybrid Red-capped/Chorister Robin-Chat,Cossypha natalensis/dichroa
5271,Ringed Teal,Callonetta leucophrys
1003,Emerald  Starling,Lamprotornis iris
3702,European Rock Pipit,Anthus petrosus
1514,Madagascan  Hoopoe,Upupa marginata
1660,Senegal Parrot,Poicephalus senegalus
3684,Black-bellied Sunbird,Cinnyris nectarinioides
1120,Mountain Robin-Chat,Cossypha isabellae
683,Forest  Batis,Batis mixta
945,Zanzibar Sombre  Greenbul,Andropadus importunus insularis
1366,Mombasa Woodpecker,Campethera mombassica
1596,Blue  Malkoha,Ceuthmochares aereus
2408,Little Yellow Flycatcher,Erythrocercus holochlorus
2662,Red-tailed Ant Thrush,Neocossyphus rufus
2998,Fischer's Greenbul,Phyllastrephus fischeri
3462,Scaly Babbler,Turdoides squamulata
3574,Amani Sunbird,Hedydipna pallidigaster
3712,Sokoke Pipit,Anthus sokokensis
3912,Clarke's Weaver,Ploceus golandi
471,Mountain Yellow Warbler,Iduna similis
632,Hunter's Cisticola,Cisticola hunteri
767,Eastern Double-collared Sunbird,Cinnyris mediocris
1118,Golden-winged Sunbird,Drepanorhynchus reichenowi
1129,Black-crowned Waxbill,Estrilda nonnula
2800,Superb Starling,Lamprotornis superbus
2860,White-bellied Tit,Melaniparus albiventris
3170,Grey-capped Warbler,Eminia lepida
3358,Brown Parisoma,Curruca lugens
4098,Yellow-crowned Canary,Serinus flavivertex
1716,Fischer's Turaco,Tauraco fischeri
2188,Dimorphic Egret,Egretta dimorpha
2278,Long-tailed Fiscal,Lanius cabanisi
3032,Dodson's Bulbul,Pycnonotus dodsoni
342,Lesser Cuckoo,Cuculus poliocephalus
898,Madagascan  Pratincole,Glareola ocularis
1590,Blue-naped Mousebird,Urocolius macrourus
3834,Parrot-billed Sparrow,Passer gongonensis
3898,Golden Palm Weaver,Ploceus bojeri
1010,Isabelline Wheatear,Oenanthe isabellina
1676,Nyanza Swift,Apus niansae
1700,Bare-faced Go-away-bird,Crinifer personatus
2136,Eastern Chanting Goshawk,Melierax poliopterus
2682,Abyssinian Wheatear,Oenanthe lugubris
3092,Miombo  Wren-Warbler,Calamonastes undosus
3846,Chestnut Sparrow,Passer eminibey
3952,Grey-headed Social  Weaver,Pseudonigrita arnaudi
1153,Vitelline Masked  Weaver,Ploceus vitellinus
1187,Black-necked Weaver,Ploceus nigricollis
1260,Vulturine Guineafowl,Acryllium vulturinum
1452,D'Arnaud's  Barbet,Trachyphonus darnaudii
1454,Red-and-yellow Barbet,Trachyphonus erythrocephalus
1490,Von der Decken's Hornbill,Tockus deckeni
1494,Eastern Yellow-billed  Hornbill,Tockus flavirostris
1698,White-bellied Go-away-bird,Crinifer leucogaster
1960,Chestnut-bellied Sandgrouse,Pterocles exustus
1962,Lichtenstein's Sandgrouse,Pterocles lichtensteinii
2326,Pygmy Batis,Batis perkeo
2368,Fan-tailed Raven,Corvus rhipidurus
2370,Brown-necked Raven,Corvus ruficollis
2430,Slate-colored Boubou,Laniarius funebris
2544,African Grey Flycatcher,Melaenornis microrhynchus
2592,White-throated  Robin,Irania gutturalis
2750,Bare-eyed Thrush,Turdus tephronotus
2778,Golden-breasted Starling,Lamprotornis regius
2876,Acacia Tit,Melaniparus thruppi
3024,Northern Brownbul,Phyllastrephus strepitans
3036,Dark-capped Bulbul,Pycnonotus tricolor
3176,Buff-bellied Warbler,Phyllolais pulchella
3188,Pale Prinia,Prinia somalica
3192,Red-fronted Prinia,Prinia rufifrons
3278,Eastern Olivaceous Warbler,Iduna pallida
3426,Northern Crombec,Sylvietta brachyura
3500,Fischer's  Sparrow-Lark,Eremopterix leucopareia
3588,Eastern Violet-backed Sunbird,Anthreptes orientalis
3976,Blue-capped Cordonbleu,Uraeginthus cyanocephalus
1910,Heuglin's Bustard,Neotis heuglinii
2026,Somali Courser,Cursorius somalensis
2280,Taita Fiscal,Lanius dorsalis
2490,Rosy-patched Bushshrike,Telophorus cruentus
2814,Bristle-crowned Starling,Onychognathus salvadorii
3268,Yellow-vented Eremomela,Eremomela flavicrissalis
3520,Pink-breasted Lark,Calendulauda poecilosterna
3730,White-headed Buffalo Weaver,Dinemellia dinemelli
4038,Somali Golden-breasted Bunting,Emberiza poliopleura
4094,Northern Grosbeak-Canary,Crithagra donaldsoni
1200,Somali Ostrich,Struthio molybdophanes
2276,Northern White-crowned Shrike,Eurocephalus ruppelli
2832,Magpie Starling,Speculipastor bicolor
3876,Donaldson-Smith's  Sparrow-Weaver,Plocepasser donaldsoni
567,Rufous-tailed Scrub Robin,Cercotrichas galactotes
2152,Fox Kestrel,Falco alopex
3506,Crested Lark,Galerida cristata
3842,Somali Sparrow,Passer castanopterus
960,White-headed Barbet,Lybius leucocephalus
985,Temminck's Stint,Calidris temminckii
1900,Buff-crested Bustard,Lophotis gindiana
2020,Black-headed Lapwing,Vanellus tectus
2096,Eastern Imperial Eagle,Aquila heliaca
2284,Grey-backed Fiscal,Lanius excubitoroides
2300,Magpie Shrike,Urolestes melanoleucus
2788,Hildebrandt's Starling,Lamprotornis hildebrandti
2794,Ruppell's Starling,Lamprotornis purpuroptera
3124,Ashy Cisticola,Cisticola cinereolus
3142,Winding Cisticola,Cisticola marginatus
3974,Red-cheeked Cordonbleu,Uraeginthus bengalus
4076,Yellow-rumped  Seedeater,Crithagra xanthopygia
4096,White-bellied Canary,Crithagra dorsostriata
1236,Yellow-necked Spurfowl,Pternistis leucoscepus
1658,Red-bellied  Parrot,Poicephalus rufiventris
2560,Spotted Palm Thrush,Cichladusa guttata
3610,Hunter's Sunbird,Chalcomitra hunteri
1372,Nubian Woodpecker,Campethera nubica
1818,Donaldson Smith's Nightjar,Caprimulgus donaldsoni
2288,Isabelline Shrike,Lanius isabellinus
2596,Common Nightingale,Luscinia megarhynchos
2634,Gambaga Flycatcher,Muscicapa gambagae
2836,Fischer's Starling,Lamprotornis fischeri
3090,Grey  Wren-Warbler,Calamonastes simplex
3456,Rufous Chatterer,Argya rubiginosa
3954,Black-capped Social  Weaver,Pseudonigrita cabanisi
3990,Straw-tailed Whydah,Vidua fischeri
10878,Abyssinian White-eye,Zosterops flavilateralis
2576,Rueppell's  Robin-Chat,Cossypha semirufa
3214,Heuglin's White-eye,Zosterops poliogastrus
1576,Northern Carmine Bee-eater,Merops nubicus
1814,Slender-tailed Nightjar,Caprimulgus clarus
2058,Sooty Gull,Ichthyaetus hemprichii
2320,Eastern Black-headed Batis,Batis minor
3746,Fire-fronted Bishop,Euplectes diadematus
1086,Cabanis's Greenbul,Phyllastrephus cabanisi
1106,Evergreen Forest Warbler,Bradypterus lopezi
1111,Yellow-whiskered Greenbul,Eurillas latirostris
1159,Thick-billed Seedeater,Crithagra burtoni
1442,Moustached  Tinkerbird,Pogoniulus leucomystax
2202,Olive Ibis,Bostrychia olivacea
2466,Mountain  Oriole,Oriolus percivali
2942,Mountain  Greenbul,Arizelocichla nigriceps
2948,Slender-billed Greenbul,Stelgidillas gracilirostris
3082,Chestnut-throated Apalis,Apalis porphyrolaema
3084,Black-collared Apalis,Oreolais pulcher
3382,Brown Woodland Warbler,Phylloscopus umbrovirens
3384,Rwenzori Hill Babbler,Sylvia atriceps
3432,White-browed Crombec,Sylvietta leucophrys
3660,Northern Double-collared Sunbird,Cinnyris reichenowi
944,Bar-tailed Trogon,Apaloderma vittatum
1107,Cinnamon Bracken Warbler,Bradypterus cinnamomeus
1516,White-headed  Wood Hoopoe,Phoeniculus bollei
3458,Black-lored Babbler,Turdoides sharpei
732,F\u00fclleborn's Boubou,Laniarius fuelleborni
1470,Spot-flanked Barbet,Tricholaema lacrymosa
954,Hildebrandt's Spurfowl,Pternistis hildebrandti
1392,African Grey Woodpecker,Dendropicos goertae
1636,Fischer's Lovebird,Agapornis fischeri
3934,Speke's Weaver,Ploceus spekei
3104,Lynes's Cisticola,Cisticola distinctus
3114,Pectoral-patch Cisticola,Cisticola brunnescens
2112,Mountain Buzzard,Buteo oreophilus
4074,Kenya Yellow-rumped Seedeater,Crithagra reichenowi
28,Tropical Shearwater,Puffinus bailloni
1410,Brown-backed Woodpecker,Dendropicos obsoletus
1462,Red-fronted Barbet,Tricholaema diademata
1526,Abyssinian  Scimitarbill,Rhinopomastus minor
3686,Beautiful Sunbird,Cinnyris pulchellus
3966,Grey-headed Silverbill,Spermestes griseicapilla
3972,Speckle-fronted Weaver,Sporopipes frontalis
4086,Southern Grosbeak-Canary,Crithagra buchanani
3992,Steel-blue Whydah,Vidua hypocherina
2344,Purple-throated  Cuckooshrike,Campephaga quiscalina
2386,Northern Puffback,Dryoscopus gambensis
4104,White-rumped Seedeater,Crithagra leucopygia
3534,Singing Bush Lark,Mirafra cantillans
3766,Rufous-tailed Weaver,Histurgops ruficauda
3228,Moustached Warbler,Acrocephalus melanopogon
1141,Grey-headed Nigrita,Nigrita canicapillus
3446,Northern Pied Babbler,Turdoides hypoleuca
2070,Saunders's Tern,Sternula saundersi
3132,Coastal Cisticola,Cisticola haematocephalus
3754,Zanzibar Red  Bishop,Euplectes nigroventris
3444,Hinde's Babbler,Turdoides hindei
787,Grey-headed Sparrow,Passer diffusus
965,Grey-olive Greenbul,Phyllastrephus cerviniventris
3452,Brown Babbler,Turdoides plebejus
2886,Ethiopian Swallow,Hirundo aethiopica
1824,Sombre Nightjar,Caprimulgus fraenatus
3198,Abyssinian White-eye,Zosterops abyssinicus
